,summary,dt,temp_min,temp_max,temperature,humidité,pressure,wind_speed,wind_deg,weather
0,count,8281,8281,8281,8281,8281,8281,8281,8281,8281
1,mean,1.594456457142857E9,19.366443666223926,21.556052409129357,20.49997222557666,55.958096848206736,1019.9118463953629,3.8387054703537644,227.07305880932253,
2,stddev,195351.0231885396,4.4634753330818615,4.41527916479242,4.413114988326805,17.448199592925935,4.174451392527735,1.3617416704833187,128.52796308436535,
3,min,1593561600,9.04000000000002,12.370000000000005,10.610000000000014,26,1009,0.91,0,Clear
4,25%,1594306800,16.149999999999977,18.480000000000018,17.610000000000014,42,1017,3.1,40,
5,50%,1594461600,19.149999999999977,21.25999999999999,20.100000000000023,55,1019,3.6,280,
6,75%,1594616400,22.370000000000005,24.589999999999975,23.420000000000016,68,1024,4.6,330,
7,max,1594771200,30.149999999999977,32.370000000000005,31.579999999999984,100,1027,8.7,360,Rain
